,POSTCODE_VAN,POSTCODE_TOT,Aantal Aansluitingen,%Leveringsrichting,%Fysieke status,%Defintieve aansl (NRM),%Soort aansluiting,Soort aansluiting Naam,SJV,%SJV laag tarief,%Slimme Meter,Gemiddeld aantal telwielen
335,1011RG,1011RG,23,100,100,100,96,3x25,1423,"4,35",0,"1,4"
337,1011RH,1011RH,24,100,100,100,100,3x25,2746,0,0,1
339,1011RJ,1011RJ,10,100,100,100,100,3x25,3426,10,0,2
341,1011RK,1011RK,16,100,100,100,94,3x25,2832,"12,5",0,"1,3"
342,1011RL,1011RL,28,100,100,100,96,3x25,2552,"14,29",0,"1,3"
344,1011RM,1011RM,16,100,"81,25",100,88,3x25,3192,"12,5",0,"3,8"
346,1011RN,1011RN,18,100,100,100,78,3x25,10156,0,0,"1,2"
348,1011RP,1011RS,23,100,100,100,96,3x25,3560,"8,7",0,"1,3"
350,1011RT,1011SB,59,100,100,100,85,3x25,5778,"16,95",0,"1,4"
351,1011SC,1011SC,13,100,"92,31",100,100,3x25,4879,"15,38",0,"1,3"
353,1011SE,1011SG,22,100,"95,45",100,95,3x25,4180,"13,64",0,"1,5"
355,1011SK,1011SP,36,100,100,100,100,3x25,2131,"2,78",0,"1,5"
356,1011SR,1011SR,20,100,95,100,100,3x25,1040,5,0,1
358,1011ST,1011ST,17,100,100,100,100,3x25,934,0,0,1
360,1011SV,1011SV,17,100,100,100,100,3x25,1006,0,0,1
362,1011SW,1011SW,17,100,100,100,100,3x25,920,0,0,"1,1"
364,1011SX,1011SX,17,100,100,100,100,3x25,916,0,0,1
366,1011SZ,1011SZ,17,100,100,100,100,3x25,700,0,0,1
368,1011TA,1011TB,70,100,"95,71",100,93,3x25,4084,"11,43",0,"1,1"
370,1011TC,1011TC,47,100,"93,62",100,85,3x25,5859,"8,51",0,"2,6"
372,1011TD,1011TD,21,100,"85,71",100,67,3x25,8314,"47,62",0,"2,1"
374,1011TE,1011TE,12,100,100,100,100,3x25,3760,"8,33",0,"2,8"
375,1011TG,1011TG,21,100,"95,24",100,90,3x25,3977,"19,05",0,"1,7"
377,1011TJ,1011TJ,27,100,"96,3",100,96,3x25,3950,"7,41",0,"1,8"
379,1011TK,1011TL,29,100,100,100,100,3x25,2083,"6,9",0,"1,6"
381,1011TM,1011TM,19,100,"94,74",100,84,3x25,3776,"15,79",0,"1,9"
383,1011TN,1011TN,10,100,80,100,80,3x25,1460,10,0,1
385,1011TP,1011TP,14,100,"92,86",100,93,3x25,2625,0,0,"1,2"
386,1011TR,1011TR,23,100,"86,96",100,100,3x25,4036,"4,35",0,"1,2"
388,1011TS,1011TS,19,100,100,100,95,3x25,3123,"10,53",0,"1,2"
390,1011TT,1011TT,30,100,"86,67",100,90,3x25,2851,"6,67",0,"1,6"
392,1011TV,1011TV,77,100,"97,4",100,92,3x25,3013,"7,79",0,"1,9"
394,1011TW,1011TW,23,100,"95,65",100,78,3x25,11337,"21,74",0,"1,4"
396,1011TX,1011TX,37,100,"97,3",100,97,3x25,3527,"8,11",0,"1,3"
398,1011TZ,1011TZ,95,100,"92,63",100,95,3x25,2429,"3,16",0,"2,1"
400,1011VA,1011VA,15,100,80,100,93,3x25,6331,20,0,"1,3"
402,1011VB,1011VK,66,100,"98,48",100,98,3x25,2455,"6,06",0,"1,4"
404,1011VL,1011VL,47,100,"89,36",100,89,3x25,5773,"8,51",0,"2,1"
406,1011VM,1011VM,38,100,"92,11",100,84,3x25,4814,"13,16",0,"2,2"
408,1011VP,1011VP,44,100,"93,18",100,98,3x25,1657,0,0,"1,5"
410,1011VR,1011VR,11,100,100,100,100,3x25,1345,0,0,1
412,1011VS,1011VS,22,100,100,100,100,3x25,2282,0,0,1
415,1011VX,1011WB,44,100,"81,82",100,89,3x25,4604,"11,36",0,"3,4"
416,1011WC,1011WC,45,100,100,100,98,3x25,2043,"2,22",0,"3,8"
418,1011WD,1011WD,35,100,100,100,100,3x25,1827,"2,86",0,3
420,1011XA,1011XA,12,100,100,100,100,3x25,2045,0,0,1
422,1012AA,1012AA,24,100,"58,33",100,50,3x25,22700,"33,33",0,2
424,1012AB,1012AB,102,100,"89,22",100,63,1x6,2387,"78,43",0,"2,7"
425,1012AC,1012AC,28,100,"89,29",100,75,3x25,12961,"21,43",0,"1,6"
426,1012AD,1012AD,11,100,"81,82",100,82,3x25,7445,"63,64",0,2
427,1012AE,1012AE,54,100,"83,33",100,74,3x25,8375,"33,33",0,2
428,1012AG,1012AG,10,100,90,100,90,3x25,9931,40,0,"1,9"
430,1012AH,1012AH,13,100,"84,62",100,92,3x25,8089,"30,77",0,"1,8"
431,1012AJ,1012AJ,10,100,100,100,100,3x25,4537,10,0,"1,7"
432,1012AK,1012AK,19,100,100,100,95,3x25,4754,"5,26",0,"1,5"
433,1012AL,1012AL,54,100,100,100,91,3x25,8318,"16,67",0,"1,6"
435,1012AM,1012AR,53,100,"96,23",100,87,3x25,9136,"30,19",0,"1,6"
437,1012AS,1012AS,39,100,100,100,95,3x25,5069,"10,26",0,"1,4"
439,1012AT,1012AT,19,100,100,100,95,3x25,8442,"31,58",0,"1,4"
441,1012AV,1012AV,26,100,100,100,88,3x25,10475,"19,23",0,"1,3"
443,1012AW,1012AW,20,100,100,100,95,3x25,9017,25,0,"1,3"
445,1012AX,1012AX,15,100,100,100,87,3x25,9198,"33,33",0,"1,4"
447,1012AZ,1012AZ,70,100,"91,43",100,87,3x25,5039,"14,29",0,"1,3"
449,1012BA,1012BA,71,100,"98,59",100,92,3x25,6039,"7,04",0,"1,2"
451,1012BB,1012BB,34,100,"94,12",100,88,3x25,12482,"32,35",0,"1,6"
453,1012BC,1012BC,27,100,100,100,93,3x25,8060,"25,93",0,"1,5"
455,1012BD,1012BD,10,100,90,100,100,3x25,4343,30,0,"1,3"
457,1012BE,1012BG,38,100,"92,11",100,92,3x25,6992,"18,42",0,"1,6"
458,1012BH,1012BH,29,100,"89,66",100,86,3x25,7278,"20,69",0,"1,5"
460,1012BJ,1012BJ,38,100,"81,58",100,95,3x25,4437,"7,89",0,2
462,1012BK,1012BK,26,100,"57,69",100,65,3x25,2859,"11,54",0,"2,1"
464,1012BL,1012BL,20,100,75,100,80,3x25,3070,10,0,"2,5"
466,1012BM,1012BM,41,100,"90,24",100,95,3x25,6943,"14,63",0,"2,1"
468,1012BN,1012BN,18,100,100,100,100,3x25,4694,"11,11",0,"1,3"
470,1012BP,1012BP,39,100,"82,05",100,92,3x25,4993,"17,95",0,2
472,1012BR,1012BS,56,100,"94,64",100,86,3x25,4337,"10,71",0,"2,3"
474,1012BT,1012BT,16,100,100,100,94,3x25,2531,0,0,"2,8"
476,1012BV,1012BV,39,100,100,100,92,3x25,11376,"15,38",0,"1,3"
478,1012BW,1012BW,45,100,"97,78",100,100,3x25,2176,"2,22",0,"1,3"
480,1012BX,1012BX,33,100,100,100,100,3x25,2244,"6,06",0,"1,2"
482,1012BZ,1012BZ,32,100,"96,88",100,97,3x25,2169,"6,25",0,"1,1"
484,1012CA,1012CA,16,100,100,100,94,3x25,2457,"12,5",0,"1,1"
486,1012CB,1012CB,42,100,"97,62",100,95,3x25,3461,"7,14",0,"1,4"
488,1012CC,1012CD,37,100,100,100,92,3x25,13062,"32,43",0,"1,7"
490,1012CE,1012CE,25,100,92,100,92,3x25,10393,36,0,"1,6"
492,1012CH,1012CJ,37,100,"89,19",100,95,3x25,2678,"2,7",0,"1,4"
494,1012CK,1012CK,20,100,75,100,80,3x25,1944,10,0,"2,1"
496,1012CL,1012CL,16,100,"81,25",100,100,3x25,7343,"18,75",0,"1,7"
498,1012CM,1012CN,20,100,90,100,90,3x25,2259,5,0,"1,2"
500,1012CP,1012CR,38,100,"76,32",100,82,3x25,14013,"39,47",0,"1,5"
501,1012CS,1012CS,17,100,100,100,65,3x25,18857,"35,29",0,"1,8"
503,1012CT,1012CT,22,100,100,100,91,3x25,8895,"22,73",0,"1,4"
505,1012CV,1012CV,13,100,"84,62",100,85,3x25,5937,"23,08",0,"3,3"
507,1012CW,1012CW,23,100,"95,65",100,96,3x25,6585,"34,78",0,"1,4"
509,1012CX,1012CX,13,100,100,100,92,3x25,5199,"30,77",0,"1,4"
511,1012CZ,1012CZ,39,100,"94,87",100,92,3x25,3098,"7,69",0,"1,1"
513,1012DA,1012DA,42,100,"83,33",100,86,3x25,10096,"19,05",0,"1,9"
515,1012DB,1012DB,25,100,96,100,80,3x25,13511,40,0,"1,6"
517,1012DC,1012DC,24,100,"91,67",100,88,3x25,10883,"29,17",0,"1,7"
519,1012DD,1012DD,14,100,"92,86",100,79,3x25,12913,"42,86",0,"2,2"
521,1012DE,1012DE,18,100,100,100,94,3x25,7966,"16,67",0,"1,3"
523,1012DG,1012DG,35,100,"97,14",100,94,3x25,5804,"17,14",0,"2,1"
525,1012DH,1012DH,13,100,100,100,92,3x25,2209,0,0,"1,2"
527,1012DJ,1012DJ,22,100,"86,36",100,100,3x25,4744,"9,09",0,"2,2"
529,1012DK,1012DK,24,100,"70,83",100,96,3x25,3035,"8,33",0,"2,8"
531,1012DL,1012DL,12,100,"91,67",100,100,3x25,2875,"8,33",0,"1,1"
533,1012DM,1012DM,25,100,100,100,96,3x25,4247,8,0,"1,1"
534,1012DN,1012DN,16,100,"93,75",100,94,3x25,8446,"31,25",0,"1,6"
536,1012DP,1012DP,45,100,"84,44",100,78,3x25,9411,20,0,"2,3"
538,1012DR,1012DR,25,100,100,100,88,3x25,14147,32,0,"1,5"
540,1012DS,1012DS,28,100,100,100,96,3x25,12447,"14,29",0,"1,2"
542,1012DT,1012DT,14,100,100,100,71,3x25,11954,"42,86",0,"1,7"
544,1012DV,1012DV,31,100,"90,32",100,81,3x25,6533,"25,81",0,"1,9"
546,1012DW,1012DW,15,100,"93,33",100,80,3x25,5151,0,0,"1,6"
548,1012DX,1012DX,18,100,100,100,100,3x25,3461,"11,11",0,"1,3"
